,video_id,video_title,video_channel,publish_date,views,like_count,dislike_count,comments
281,n34dqyVCXs4,Sum of functions | Functions and their graphs | Algebra II | Khan Academy,Khan Academy,2011-11-07,530736,430,15,19
280,Dpo_-GrMpNE,Natural logarithm with a calculator | Logarithms | Algebra II | Khan Academy,Khan Academy,2011-11-09,527014,534,33,37
279,5CeBlu260Rw,"Quadrilateral properties | Perimeter, area, and volume | Geometry | Khan Academy",Khan Academy,2011-11-10,627891,1037,182,134
278,r1ywppAJ1xs,Thomas Malthus and population growth | Cosmology &amp; Astronomy | Khan Academy,Khan Academy,2011-12-28,242839,1167,58,132
277,xx9xNJlPOJo,Comparative advantage specialization and gains from trade | Microeconomics | Khan Academy,Khan Academy,2011-12-30,753478,2749,60,102
276,6udRtn5jSWk,Perfect inelasticity and perfect elasticity of demand | Microeconomics | Khan Academy,Khan Academy,2012-01-03,408743,964,23,62
275,AAWsuFXojgo,Elasticity of supply | Elasticity | Microeconomics | Khan Academy,Khan Academy,2012-01-04,364858,952,37,56
274,KrkbbRxdDZ8,Demand Curve as Marginal Benefit Curve,Khan Academy,2012-01-05,323736,452,24,18
273,NuLlNAdrom4,Taxation and dead weight loss | Microeconomics | Khan Academy,Khan Academy,2012-01-12,448279,1335,28,84
272,7t8gdc3YogM,Marginal cost and average total cost | Microeconomics | Khan Academy,Khan Academy,2012-01-23,566962,1087,30,27
271,CWiHA5XtqgU,Long term supply curve and economic profit | Microeconomics | Khan Academy,Khan Academy,2012-01-24,220830,328,14,19
270,N0L00FZnhtg,"Oligopolies, duopolies, collusion, and cartels | Microeconomics | Khan Academy",Khan Academy,2012-01-27,369124,1596,50,65
269,XTMbRDRaviM,Game theory of cheating firms | Game theory and Nash equilibrium | Microeconomics | Khan Academy,Khan Academy,2012-01-30,127211,259,1,42
268,z0wg9ZPyL38,Price discrimination | Microeconomics | Khan Academy,Khan Academy,2012-01-31,217529,692,28,34
267,DR2DYe7PI74,Converting decimals to fractions example 1 | Decimals | Pre-Algebra | Khan Academy,Khan Academy,2012-02-04,1361752,1236,180,187
266,N9VIsauE0RA,Investment and consumption | GDP: Measuring national income | Macroeconomics | Khan Academy,Khan Academy,2012-02-04,362879,718,28,33
265,AaR1mPrdbTc,Introduction to inflation | Inflation - measuring the cost of living | Macroeconomics | Khan Academy,Khan Academy,2012-02-14,495911,1748,86,129
264,3nbalsyibKU,Short run aggregate supply | Aggregate demand and aggregate supply | Macroeconomics | Khan Academy,Khan Academy,2012-03-05,538306,1483,67,83
263,3mUi9IZb4T4,Overview of fractional reserve banking | The monetary system | Macroeconomics | Khan Academy,Khan Academy,2012-03-21,279864,1202,48,200
262,8CluknrLeys,The fundamental theorem of arithmetic | Computer Science | Khan Academy,Khan Academy,2012-03-28,445760,2541,74,163
261,O_Oozju3RRI,MPC and multiplier | Macroeconomics | Khan Academy,Khan Academy,2012-04-03,377059,1185,67,84
260,N44RZtJ4jj4,Generalized linear consumption function | Macroeconomics | Khan Academy,Khan Academy,2012-04-04,107774,258,11,31
259,xF_Z4QK0tsA,Details on shifting aggregate planned expenditures | Macroeconomics | Khan Academy,Khan Academy,2012-04-05,138046,280,10,25
258,9p3HNMe-oAI,Math mechanics of Thai banking crisis | Foreign exchange and trade | Macroeconomics | Khan Academy,Khan Academy,2012-05-14,127809,459,6,25
257,usH9VUi2-Xg,Constructing a unit normal vector to a surface | Multivariable Calculus | Khan Academy,Khan Academy,2012-05-30,144599,461,16,76
256,NCwwfvPEVn8,Vector representation of a surface integral | Multivariable Calculus | Khan Academy,Khan Academy,2012-05-31,96513,269,13,24
255,E2MRMdaPKcc,Stokes example part 1 | Multivariable Calculus | Khan Academy,Khan Academy,2012-06-19,333449,626,36,17
254,8nW9L7cSop4,PPACA or &quot;Obamacare&quot; | American civics | US History | Khan Academy,Khan Academy,2012-07-05,307394,796,38,356
253,mt6Nq0dzFjo,"Finding average speed or rate | Ratios, proportions, units, and rates | Pre-Algebra | Khan Academy",Khan Academy,2012-07-24,354490,718,109,142
252,1byR9UEQJN0,Synthetic division | Polynomial and rational functions | Algebra II | Khan Academy,Khan Academy,2012-08-01,1200228,3282,90,204
251,CLWpkv6ccpA,Combining like terms introduction | Introduction to algebra | Algebra I | Khan Academy,Khan Academy,2012-09-06,1506939,3388,385,492
250,J8Va0T-_ptk,Atherosclerosis - Part 1,Khan Academy,2012-09-10,74558,401,11,35
249,jWpiMu5LNdg,How to solve one-step equations | Linear equations | Algebra I | Khan Academy,Khan Academy,2012-09-11,935250,1320,155,195
248,TLSYwkWCIzA,Transfer pricing and tax havens | Taxes | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2012-10-08,289739,2895,53,241
247,1m9p9iubMLU,Introduction to the unit circle | Trigonometry | Khan Academy,Khan Academy,2012-11-19,1443044,5933,184,218
246,k5EbijWu-Ss,Inferring population mean from sample mean | Probability and Statistics | Khan Academy,Khan Academy,2012-11-20,355857,353,46,21
245,btGaOTXxXs8,Disc method around x-axis | Applications of definite integrals | AP Calculus AB | Khan Academy,Khan Academy,2013-01-08,563071,966,37,60
244,XdzcU5JbVcA,Disc method rotation around horizontal line | AP Calculus AB | Khan Academy,Khan Academy,2013-01-08,216098,168,9,19
243,a2Ia_ZlUCaQ,Infinite limits intro | Limits and continuity | AP Calculus AB | Khan Academy,Khan Academy,2013-01-23,631671,814,37,40
242,xR4AnXDBnsw,Area between a curve and the x-axis | AP Calculus AB | Khan Academy,Khan Academy,2013-01-24,597968,825,26,56
241,LbTH7MGMNjk,Area between curves with multiple boundaries,Khan Academy,2013-01-28,266220,398,17,23
240,9uxvm-USEYE,Worked example: Implicit differentiation | Advanced derivatives | AP Calculus AB | Khan Academy,Khan Academy,2013-01-30,449757,167,11,13
239,dam16G6cZ8k,Optimization: profit | Applications of derivatives | AP Calculus AB | Khan Academy,Khan Academy,2013-01-31,282694,689,17,40
238,Xe6YlrCgkIo,Related rates: water pouring into a cone | AP Calculus AB | Khan Academy,Khan Academy,2013-01-31,695430,2070,167,256
237,gZbJQm8pumk,Steric hindrance,Khan Academy,2013-02-13,110716,962,30,60
236,qv7DM5Ph0vU,Introduction to improper integrals | AP Calculus BC | Khan Academy,Khan Academy,2013-02-13,509033,959,16,49
235,wzw9ll80Zbc,Formal definition for limit of a sequence | Series | AP Calculus BC | Khan Academy,Khan Academy,2013-02-15,348880,1129,44,62
234,-XRQovTI04Q,Proving a sequence converges using the formal definition | Series | AP Calculus BC | Khan Academy,Khan Academy,2013-02-15,414866,1332,50,91
233,LiPQuOFVHl4,Salman Khan on Charlie Rose 2/26/2013,Khan Academy,2013-03-01,107035,978,15,141
232,jAfNg3ylZAI,Intersection and union of sets | Probability and Statistics | Khan Academy,Khan Academy,2013-03-12,876262,3071,107,259
231,7AOOlxbZN3E,Schlieffen Plan and the First Battle of the Marne | The 20th century | World history | Khan Academy,Khan Academy,2013-03-19,178093,632,26,84
230,ay1QGPg2R98,Italy backs out of Triple Alliance | The 20th century | World history | Khan Academy,Khan Academy,2013-03-28,77797,188,4,12
229,mQyM-4YqHMM,Italian front in World War I | The 20th century | World history | Khan Academy,Khan Academy,2013-03-28,102077,414,19,125
228,kOf8fU9iduA,Deaths in World War I | The 20th century | World history | Khan Academy,Khan Academy,2013-04-01,88451,332,41,50
227,QCkn5bu8GgM,Initial rise of Hitler and the Nazis | The 20th century | World history | Khan Academy,Khan Academy,2013-04-30,399227,2196,186,195
226,ZrbbKMnPDUk,Night of the Long Knives | The 20th century | World history | Khan Academy,Khan Academy,2013-05-15,174125,1101,55,132
225,INqaHHZGt8w,Coordinate plane: reflecting points | Negative numbers | 6th grade | Khan Academy,Khan Academy,2013-07-16,472483,520,100,73
224,jNUz0P5MG9M,Identifying a proportional relationship from a table (example) | 7th grade | Khan Academy,Khan Academy,2013-07-27,244070,132,24,11
223,pr-u4LCFYEY,Introduction to the Black-Scholes formula | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2013-07-29,634364,4775,108,152
222,VIHldsSmASU,Implied volatility | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2013-07-29,211014,867,29,48
221,fVsxYtXOIXg,Plotting basic fractions on the number line | Fractions | Pre-Algebra | Khan Academy,Khan Academy,2013-08-02,1050888,883,168,84
220,JnpqlXN9Whw,"Negative exponents | Exponents, radicals, and scientific notation | Pre-Algebra | Khan Academy",Khan Academy,2013-08-02,1472826,3688,246,433
219,ZElOxG7_m3c,Law of cosines | Trig identities and examples | Trigonometry | Khan Academy,Khan Academy,2013-08-06,719773,2217,64,156
218,0njioQqIxKY,Word problem: What fraction of an hour should the piano still be practiced? | Khan Academy,Khan Academy,2013-08-08,228299,169,25,16
216,LrTn4cvsewk,Axis of symmetry | Transformations | Geometry | Khan Academy,Khan Academy,2013-08-14,475194,517,124,21
217,x6xtezhuCZ4,Multiplying two fractions: an explanation | Fractions | Pre-Algebra | Khan Academy,Khan Academy,2013-08-14,998200,865,139,158
215,JvDpYlyKkNU,Radius and center for a circle equation in standard form | Algebra II | Khan Academy,Khan Academy,2013-08-15,788313,1398,71,55
214,497oIjqRPco,Multiplying and dividing in scientific notation (example) | Pre-Algebra | Khan Academy,Khan Academy,2013-08-20,452407,418,54,40
213,9uwLgf84p5w,Introduction to perimeter | Measurement | Pre-Algebra | Khan Academy,Khan Academy,2013-09-28,869636,1111,340,301
212,RuPMsK0mQC8,Annual Percentage Rate (APR) and effective APR | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2013-09-29,438571,1475,84,77
211,i8THsl3AYFI,"Formula for a finite geometric series | Sequences, series and induction | Precalculus | Khan Academy",Khan Academy,2013-11-08,267046,680,31,70
210,o5QRdHH8aeQ,Formula for continuously compounding interest | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2013-11-18,346102,894,69,70
209,muqyereWEh4,Worked example: sequence convergence/divergence | Series | AP Calculus BC | Khan Academy,Khan Academy,2013-11-26,447003,638,27,34
208,qUNGPqCPzMg,Partial fraction decomposition to find sum of telescoping series,Khan Academy,2013-11-26,253537,690,29,32
207,DlBQcj_zQk0,Power series intro | Series | AP Calculus BC | Khan Academy,Khan Academy,2013-11-27,653820,1409,173,49
206,vsgrWDLEzcQ,Classifying a quadrilateral on the coordinate plane | Analytic geometry | Geometry | Khan Academy,Khan Academy,2013-12-11,76346,161,9,9
205,0rlNHYHhrWs,Finding a point part way between two points | Analytic geometry | Geometry | Khan Academy,Khan Academy,2013-12-11,236661,644,48,39
204,OP91XWBRI1w,Quadratic inequality example | Functions and their graphs | Algebra II | Khan Academy,Khan Academy,2013-12-17,241249,367,11,20
203,soIt2TwV6Xk,Using the Pythagorean trig identity | Trig identities and examples | Trigonometry | Khan Academy,Khan Academy,2013-12-19,273704,312,18,18
202,4IWfJ7-CYfE,Multiplying decimals: place value and reordering | Decimals | Pre-Algebra | Khan Academy,Khan Academy,2013-12-27,558964,323,64,87
201,Hoyv3-BMAGc,Introduction to minimum and maximum points | Functions | Algebra I | Khan Academy,Khan Academy,2014-01-20,381446,424,32,20
200,SP-YJe7Vldo,Introduction to complex numbers | Imaginary and complex numbers | Precalculus | Khan Academy,Khan Academy,2014-02-12,892091,4166,128,159
199,R2JsjJyr0ck,Differentiating logarithmic functions using log properties | AP Calculus AB | Khan Academy,Khan Academy,2014-03-20,266554,540,30,24
197,ojFuf9RYmzI,Determining coefficient in binomial expansion | Algebra II | Khan Academy,Khan Academy,2014-03-27,470801,1108,68,47
198,iPwrDWQ7hPc,Binomial theorem | Polynomial and rational functions | Algebra II | Khan Academy,Khan Academy,2014-03-27,1248675,8338,361,495
196,jLFeqQxGtOc,Statistical significance of experiment | Probability and Statistics | Khan Academy,Khan Academy,2014-04-08,157893,474,29,40
195,8xbIS2UkQxI,Cousin Fal&#39;s shape collection | Geometry | Early Math | Khan Academy,Khan Academy,2014-04-15,647008,476,66,78
194,sLw902V40L0,Worked example: motion problems (with definite integrals) | AP Calculus AB | Khan Academy,Khan Academy,2014-05-29,290667,893,47,22
193,PK6HmIe2EAg,ATP: Adenosine triphosphate | Energy and enzymes | Biology | Khan Academy,Khan Academy,2014-06-06,638648,1712,76,75
192,dNp7vErqlaA,"Fertilization terminology: gametes, zygotes, haploid, diploid | MCAT | Khan Academy",Khan Academy,2014-06-18,351296,942,35,65
191,oc9fJCAIRJs,Hardy-Weinberg equation | Biomolecules | MCAT | Khan Academy,Khan Academy,2014-06-23,385813,736,46,25
190,H4BstqvgBow,Converting from decimal to binary | Applying mathematical reasoning | Pre-Algebra | Khan Academy,Khan Academy,2014-07-21,746132,2924,290,140
189,bvcXEJbEzSs,Converting larger number from decimal to binary | Pre-Algebra | Khan Academy,Khan Academy,2014-07-21,217122,513,64,63
187,xHWKYFhhtJQ,Multiplying in binary | Applying mathematical reasoning | Pre-Algebra | Khan Academy,Khan Academy,2014-07-22,166931,790,43,36
188,RgklPQ8rbkg,Adding in binary | Applying mathematical reasoning | Pre-Algebra | Khan Academy,Khan Academy,2014-07-22,198308,1031,29,72
186,8T4F7WboWPQ,Converting directly from binary to hexadecimal | Pre-Algebra | Khan Academy,Khan Academy,2014-07-22,227201,856,85,77
185,GWSZ1DKjNzY,How to grow your brain,Khan Academy,2014-08-14,850917,20669,244,572
184,XoBlfbrdBpQ,Worked example: direct comparison test | Series | AP Calculus BC | Khan Academy,Khan Academy,2014-08-21,250467,338,17,12
183,1yInzfzDDKY,nth term divergence test | Series | AP Calculus BC | Khan Academy,Khan Academy,2014-08-22,428011,985,30,47
182,8Amgakx5aII,Creating a slope field | First order differential equations | Khan Academy,Khan Academy,2014-09-18,465786,987,17,28
181,q87L9R9v274,Euler&#39;s method | Differential equations| AP Calculus BC | Khan Academy,Khan Academy,2014-09-25,836924,2704,176,129
180,S-mTwg73jCY,Adjustable rate mortgages ARMs | Housing | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2014-10-28,78502,356,27,22
179,WWv0RUxDfbs,Binomial distribution | Probability and Statistics | Khan Academy,Khan Academy,2014-11-26,1520383,6719,506,244
178,y-1Gh4ewklY,Introduction to Mortgage Loans | Housing | Finance &amp; Capital Markets | Khan Academy,Khan Academy,2015-01-05,316685,2364,56,129
177,okXVhDMuGFg,Equation for parabola from focus and directrix | Conic sections | Algebra II | Khan Academy,Khan Academy,2015-01-26,628355,1292,106,70
176,w56Vuf9tHfA,Finding focus and directrix from vertex | Conic sections | Algebra II | Khan Academy,Khan Academy,2015-01-27,292251,304,18,12
175,gSEYtAjuZ-Y,How to create a histogram | Data and statistics | 6th grade | Khan Academy,Khan Academy,2015-02-04,903437,2991,237,496
174,c02vjunQsJM,How to interpret a histogram | Data and statistics | 6th grade | Khan Academy,Khan Academy,2015-02-05,359438,630,75,96
173,qpbaglogObM,How to find a missing value given the mean | Data and statistics | 6th grade | Khan Academy,Khan Academy,2015-02-05,492810,1131,145,162
172,GdIkEngwGNU,Mean absolute deviation | Data and statistics | 6th grade | Khan Academy,Khan Academy,2015-02-09,959509,2894,248,455
171,8bK-xfh8-rY,Making predictions with probability | Statistics and probability | 7th grade | Khan Academy,Khan Academy,2015-02-17,239836,438,45,58
170,LtpXvUCrgrM,Point-slope and slope-intercept form from two points | Algebra I | Khan Academy,Khan Academy,2015-04-22,417377,1034,78,92
169,GpOxsRF1Cjc,Dimensions of a cube from its volume | Numbers and operations | 8th grade | Khan Academy,Khan Academy,2015-04-28,140742,328,35,53
168,-QHff5pRdM8,How to classify numbers | Numbers and operations | 8th grade | Khan Academy,Khan Academy,2015-04-29,418222,1404,90,153
167,TKGcfbyFXsw,Mitosis | Cells | MCAT | Khan Academy,Khan Academy,2015-05-04,1075745,4101,124,196
166,IQJ4DBkCnco,Comparing mitosis and meiosis | Cells | MCAT | Khan Academy,Khan Academy,2015-05-05,1468039,8001,543,433
165,OmLl6pkvV-I,Reading bar graph examples | Measurement and data | Early Math | Khan Academy,Khan Academy,2015-06-02,223780,295,65,64
164,fsTD_jqseBA,Introduction to addition | Basic addition and subtraction | Early Math | Khan Academy,Khan Academy,2015-06-02,587046,504,84,65
163,y2-uaPiyoxc,Counting with small numbers | Counting | Early Math | Khan Academy,Khan Academy,2015-06-02,1299348,351,29,72
162,BItpeFXC4vA,Introduction to decimals | Decimals | 4th grade | Khan Academy,Khan Academy,2015-06-08,875988,3167,590,621
161,2DBBKArGfus,Determining rates with fractions | 7th grade | Khan Academy,Khan Academy,2015-06-15,328509,589,89,102
160,qYjiVWwefto,Introduction to proportional relationships | 7th grade | Khan Academy,Khan Academy,2015-06-15,579973,1823,169,265
159,9ylUcCOTH8Y,Unit vector notation | Vectors and spaces | Linear Algebra | Khan Academy,Khan Academy,2015-06-17,508241,799,45,37
158,VJuBX1p0Gys,Overview of the Bolshevik Revolution,Khan Academy,2015-07-01,211142,2514,245,523
157,_eEONOJHnEs,"Evaporative cooling | Water, acids, and bases | Biology | Khan Academy",Khan Academy,2015-07-02,93049,290,14,13
156,gjKmQ501sAg,"Introduction to buffers | Water, acids, and bases | Biology | Khan Academy",Khan Academy,2015-07-03,595384,2316,140,56
155,iuaYuCreEPk,Functional groups | Properties of carbon | Biology | Khan Academy,Khan Academy,2015-07-09,263070,1657,51,53
154,FEAXI5XeJ4M,Dehydration synthesis or a condensation reaction | Biology | Khan Academy,Khan Academy,2015-07-11,177777,325,16,20
149,sjUhr0HkLUg,"Example: Graph, domain, and range of sine function | Trigonometry | Khan Academy",Khan Academy,2015-07-13,696198,612,23,28
150,SBqnRja4CW4,Example: Amplitude and period | Graphs of trig functions | Trigonometry | Khan Academy,Khan Academy,2015-07-13,758009,800,34,32
153,ArcrdMkEmKo,Inverting 3x3 part 2: Determinant and adjugate of a matrix | Matrices | Precalculus | Khan Academy,Khan Academy,2015-07-13,344153,478,12,21
152,l5VbdqRjTXc,Example: Trig to solve the sides and angles of a right triangle | Trigonometry | Khan Academy,Khan Academy,2015-07-13,1484049,2365,107,173
151,z0-1gBy1ykE,Example: Converting radians to degrees | Trigonometry | Khan Academy,Khan Academy,2015-07-13,628564,606,65,30
148,Ezp8F7XJHWE,Lipid overview | Macromolecules | Biology | Khan Academy,Khan Academy,2015-07-15,486538,2697,105,68
147,hDP6egLrsdM,Intuition behind formula for thermal conductivity | Physics | Khan Academy,Khan Academy,2015-07-23,166405,1259,43,54
146,cMNx17H3dRU,Extracellular matrix | Structure of a cell | Biology | Khan Academy,Khan Academy,2015-07-28,374168,2487,99,72
145,24YMQ9GvLss,Overview of animal and plant cells | Biology | Khan Academy,Khan Academy,2015-07-30,211475,981,71,82
144,a_Y9wBQ610o,Diffusion | Membranes and transport | Biology | Khan Academy,Khan Academy,2015-07-30,257479,784,50,38
143,s_w3EJ2Jzw0,"Comparing dot plots, histograms, and box plots | Data and statistics | 6th grade | Khan Academy",Khan Academy,2015-08-04,218721,346,43,29
142,I9eLKDbc8og,Evaluating an algebraic expression in a word problem | Algebra I | Khan Academy,Khan Academy,2015-08-04,504664,152,11,12
141,qsL_5Y8uWPU,Number of solutions to linear equations | Linear equations | Algebra I | Khan Academy,Khan Academy,2015-08-04,745955,1114,106,138
139,99v51U3HSCU,Shifting and scaling parabolas | Quadratic equations | Algebra I | Khan Academy,Khan Academy,2015-08-07,222768,385,64,51
140,qGTYSAeLTOE,"Introduction to rates | Ratios, rates, and percentages | 6th grade | Khan Academy",Khan Academy,2015-08-07,629089,1343,195,315
138,KwNe9x0eChs,Introduction to metabolism: anabolism and catabolism | Khan Academy,Khan Academy,2015-08-10,306057,1503,73,53
137,vny1qUaToHw,First Law of Thermodynamics introduction | Biology | Khan Academy,Khan Academy,2015-08-11,295746,666,23,34
136,f3ySpxX9oeM,Understanding division of fractions | Fractions | Pre-Algebra | Khan Academy,Khan Academy,2015-08-11,898506,1403,245,298
135,J2L-X2sUigs,"Endergonic, exergonic, exothermic, and endothermic reactions | Khan Academy",Khan Academy,2015-08-13,137801,463,26,20
134,L8ifD4I1o38,Reaction coupling to create glucose 6 phosphate | Biology | Khan Academy,Khan Academy,2015-08-13,72683,253,10,5
133,QI6x0KNxiCs,The idea of division | Multiplication and division | Arithmetic | Khan Academy,Khan Academy,2015-08-14,935159,852,232,184
132,SfxULALs_u8,Multiplying: 2 digits times 1 digit (with carrying) | Arithmetic | Khan Academy,Khan Academy,2015-08-14,619498,1102,319,176
131,A90HKrgUOg0,Enzymes | Energy and enzymes | Biology | Khan Academy,Khan Academy,2015-08-14,269149,985,31,24
130,-u3xaicPnA0,Sal Khan has conversation with MIT Dean of Admissions,Khan Academy,2015-08-14,171940,4094,54,249
129,O23i38B2EmA,Competitive inhibition | Energy and enzymes | Biology | Khan Academy,Khan Academy,2015-09-01,180523,861,50,30
128,hm17lVaor0Q,Area of parallelograms intuition | Algebra I | High School Math | Khan Academy,Khan Academy,2015-09-04,842054,1837,294,329
127,1iSBNSYhvIU,Surface area of a box,Khan Academy,2015-09-05,467861,576,77,94
126,Zxvc6iPKdec,Count outcomes using tree diagram | Statistics and probability | 7th grade | Khan Academy,Khan Academy,2015-09-11,346933,667,69,40
124,c-_yrA-GUow,Understanding fractions as division | Fractions | 5th grade | Khan Academy,Khan Academy,2015-09-11,497241,835,185,207
125,Jp25LHI9wII,How to use the distributive property with variables | 6th grade | Khan Academy,Khan Academy,2015-09-11,268389,218,55,36
121,9iulv2QvKwo,How to convert kilometers to meters and meters centimeters | Khan Academy,Khan Academy,2015-09-11,452944,808,241,70
123,KFzcwWTEDDI,Dividing numbers: intro to long division | 4th grade | Khan Academy,Khan Academy,2015-09-11,914966,1762,355,5
122,N1X0vf5PUz4,Intro to equivalent fractions | Fractions | 4th grade | Khan Academy,Khan Academy,2015-09-11,1066861,2020,470,678
120,BsBH8nAv5l4,Visually adding and subtracting vectors,Khan Academy,2016-01-11,131857,357,17,23
119,ii-KBKSODek,Introduction to special relativity and Minkowski spacetime diagrams | Khan Academy,Khan Academy,2016-01-18,179493,1168,51,121
118,VdLOP9teko4,Irregular plural nouns | the MUTANT PLURALS | Grammar | Khan Academy,Khan Academy,2016-02-04,355964,589,37,56
117,etl9KKf6se0,Solving exponential equations using exponent properties | High School Math | Khan Academy,Khan Academy,2016-02-17,245003,656,50,51
116,dQCsA2cCdvA,Biology overview,Khan Academy,2016-03-14,560539,785,32,47
115,L6pH8O3B4ak,Irregular plural nouns | foreign plurals | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-03-23,326162,698,22,55
114,ZKr--3HpP_A,Introduction to irregular verbs | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-03-28,311039,792,114,70
113,9X12OVvOznU,Establishing DNA as transformation principle,Khan Academy,2016-03-29,102376,595,13,20
112,Tbpj-dNGrhc,2015 AP Biology free response 1 a c,Khan Academy,2016-04-13,68137,86,2,3
110,q5HmV3Czl6g,Subject and object pronouns | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-04-14,284573,1278,160,166
109,gaMFyEravAs,Indefinite Pronouns | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-04-14,210223,1004,78,71
111,Zoh8XpfcF-c,Reflexive pronouns | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-04-14,353779,2690,185,203
108,eJgtqs_Rwts,The age of empire | Rise to world power (1890-1945) | US History | Khan Academy,Khan Academy,2016-04-15,95580,437,49,42
105,WsZj5Rb6do8,Contour plots | Multivariable calculus | Khan Academy,Khan Academy,2016-05-05,253073,2365,21,136
107,f21t7DRKlg8,BONUS VIDEO | Singular They | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-05-05,105215,583,31,114
106,roRR6A3TozM,"Transformations, part 1 | Multivariable calculus | Khan Academy",Khan Academy,2016-05-05,127504,660,9,26
104,TEB2z7ZlRAw,Why the gradient is the direction of steepest ascent,Khan Academy,2016-05-12,232101,2150,64,148
103,N_ZRcLheNv0,Directional derivative,Khan Academy,2016-05-12,397759,3027,169,126
102,D3wQ5dgFPms,Meet the preposition | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-05-16,400641,2192,216,324
101,NO3AqAaAE6o,Multivariable chain rule,Khan Academy,2016-05-20,226241,1454,39,46
100,gspjhwSNMWs,"Curvature formula, part 1",Khan Academy,2016-05-20,165664,947,49,66
99,tIpKfDc295M,Gradient,Khan Academy,2016-05-23,592279,4726,140,124
98,2lY757QaaKs,Node voltage method (steps 1 to 4) | Circuit analysis | Electrical engineering | Khan Academy,Khan Academy,2016-05-25,411250,1864,140,80
97,IKrRuDWEP68,Subordinating conjunctions | The parts of speech | Grammar | Khan Academy,Khan Academy,2016-05-25,390798,2950,246,233
96,h5BmWo5_sc8,Describing rotation in 3d with a vector,Khan Academy,2016-05-27,110287,1046,39,38
95,EW08rD-GFh0,Laplacian intuition,Khan Academy,2016-05-31,223993,3286,32,116
94,2PM1yc_z4Bk,Introduction to reaction quotient Qc | Chemical equilibrium | Chemistry | Khan Academy,Khan Academy,2016-05-31,100240,667,31,45
93,1RoJcfnZYCQ,Darwinism vs. Social Darwinism part 1 | US History | Khan Academy,Khan Academy,2016-06-06,105715,734,154,135
92,NvGBug8iORE,Commas and introductory elements | Punctuation | Grammar | Khan Academy,Khan Academy,2016-06-07,192042,672,76,87
91,JQSC0lCPG24,Harmonic Functions,Khan Academy,2016-06-13,103823,1187,22,68
90,o6zzLAhEyqo,Introduction to the apostrophe | The Apostrophe | Punctuation | Khan Academy,Khan Academy,2016-06-14,136021,429,55,61
89,Yhaa214UKvA,Choosing between its and it’s | The Apostrophe | Punctuation | Khan Academy,Khan Academy,2016-06-14,79916,272,22,26
88,fs12fX407GU,Commodity money vs. Fiat money | Financial sector | AP Macroeconomics | Khan Academy,Khan Academy,2016-06-20,146937,2212,99,345
87,vEsAtC9d_MQ,Conceptual overview of light dependent reactions,Khan Academy,2016-06-25,208077,1299,29,31
86,Z08N7pqr_cw,Uncle Tom&#39;s Cabin part 1,Khan Academy,2016-07-06,115463,623,62,55
84,uPksX_O9ARo,Limits at infinity of quotients with square roots (even power) | AP Calculus AB | Khan Academy,Khan Academy,2016-07-15,143305,355,24,37
85,9xgO-EJ3sr0,Intermediate value theorem | Existence theorems | AP Calculus AB | Khan Academy,Khan Academy,2016-07-15,434254,1417,63,70
83,U1KbM4ffiLg,Inverting op-amp circuit,Khan Academy,2016-07-25,216506,1133,44,65
82,vRw4ovZK1CQ,Linear approximation of a rational function | Derivative rules | AP Calculus AB | Khan Academy,Khan Academy,2016-07-27,185336,364,22,14
81,kZO-XQdBwqk,Heat capacity at constant volume and pressure | Physics | Khan Academy,Khan Academy,2016-07-29,89982,793,34,34
80,khDD_9g5YTM,Fourier coefficients for sine terms,Khan Academy,2016-08-05,103703,312,5,11
79,gNFDONSjB7Q,Apoptosis | Cell division | Biology | Khan Academy,Khan Academy,2016-08-10,118924,560,86,27
78,OSE3OiRGlgE,"Subject, direct object, and indirect object | Syntax | Khan Academy",Khan Academy,2016-08-23,456597,3975,231,375
76,3DGKY3eM9PY,Simple and compound sentences | Syntax | Khan Academy,Khan Academy,2016-08-23,531470,2450,335,362
74,xpoZBnXHg3E,Recognizing fragments | Syntax | Khan Academy,Khan Academy,2016-08-23,321552,1762,182,190
77,Fh45mhVsZrU,Run-ons and comma splices | Syntax | Khan Academy,Khan Academy,2016-08-23,393358,2640,164,111
71,49EsnvxVQec,Phrases and clauses | Syntax | Khan Academy,Khan Academy,2016-08-23,456904,3404,232,201
73,j9kIACViG60,Pronoun-antecedent agreement | Syntax | Khan Academy,Khan Academy,2016-08-23,281653,1590,187,82
72,Hnmm57B0JgQ,Compound-complex sentences | Syntax | Khan Academy,Khan Academy,2016-08-23,360624,2035,163,140
75,fm7QEiEk83o,Relative clauses | Syntax | Khan Academy,Khan Academy,2016-08-23,164453,1034,67,90
70,wnaLjLOAwkc,The Second Great Awakening - part 1,Khan Academy,2016-09-02,99670,493,45,51
